omm_id;hydro_year;Date;prcp_PTA;prcp_PMDA;tmax;vmax_f;hr_max/mes;hr;pres_est;tmed;hr_min/mes;tmin
87466;2020;2020-12-31;39.3024;12.984000000000002;37.75;7.678;0.77;0.53;1.01;23.45;0.32;9.7
87466;2020;2021-01-31;153.2592;37.2264;35.73;6.319;0.93;0.65;1.01;24.3;0.39;12.51
87466;2020;2021-02-28;31.3104;10.5024;34.08;4.817;0.91;0.65;1.01;23.13;0.4;12.41
87466;2020;2021-03-31;87.0432;32.712;33.36;7.139;0.95;0.72;1.01;21.52;0.55;9.57
87466;2020;2021-04-30;104.0376;25.2264;29.61;6.336;0.95;0.8;1.02;19.18;0.72;6.67
87466;2020;2021-05-31;40.5648;21.5808;28.13;11.0;0.93;0.69;1.02;14.23;0.5;2.33
87466;2021;2021-06-30;4.2863999999999995;1.6464;25.48;6.347;0.86;0.69;1.02;11.93;0.43;-1.9
87466;2021;2021-07-31;18.4704;13.7088;27.75;5.919;0.92;0.57;1.02;12.69;0.28;-1.56
87466;2021;2021-08-31;11.7192;9.2928;30.59;6.603;0.86;0.57;1.02;14.58;0.25;0.7
87466;2021;2021-09-30;81.1872;33.1824;29.52;9.308;0.92;0.73;1.02;16.6;0.4;3.82
87466;2021;2021-10-31;40.74;27.799200000000003;37.64;6.35;0.87;0.51;1.02;19.42;0.25;5.33
87466;2021;2021-11-30;132.89280000000002;31.044000000000004;35.51;7.947;0.91;0.62;1.01;21.52;0.35;8.38
87466;2021;2021-12-31;18.6888;4.2696000000000005;38.67;5.669;0.75;0.54;1.01;25.47;0.24;15.38
87466;2021;2022-01-31;124.1016;26.0472;41.31;5.256;0.98;0.63;1.01;26.17;0.25;11.95
87466;2021;2022-02-28;74.964;15.4104;37.73;6.678;0.91;0.65;1.01;23.0;0.42;8.51
87466;2021;2022-03-31;97.7856;25.6152;34.34;9.542;0.96;0.72;1.01;20.11;0.31;4.46
87466;2021;2022-04-30;37.2768;12.5856;30.6;6.3;0.87;0.67;1.01;18.08;0.38;3.88
87466;2021;2022-05-31;5.0280000000000005;2.2128;25.48;6.331;0.88;0.66;1.02;13.69;0.33;-0.95
87466;2022;2022-06-30;7.4832;5.7432;22.1;5.981;0.8;0.61;1.02;10.85;0.31;-0.33
87466;2022;2022-07-31;7.2024;3.8736;25.77;7.439;0.91;0.64;1.01;13.14;0.34;-0.14
87466;2022;2022-08-31;0.0;0.0;22.49;3.047;0.6;0.6;1.02;14.96;0.6;7.44
