omm_id;hydro_year;helio;hr;nub;prcp;pres_est;pres_nm;td;tmax;tmed;tmin;vmax_d;vmax_f;vmed;caudal
87244;1961;;64.27377521613833;3.9635854341736696;2.04435261707989;974.845530726257;;11.368907563025209;25.48650137741047;19.045961002785514;10.862983425414365;;;1.7838440111420613;
87244;1962;;63.38260869565217;3.7229916897506925;2.1586301369863015;975.6426592797784;;10.888700564971751;25.685205479452055;18.989044943820225;10.754246575342465;;;1.736288088642659;
87244;1963;;69.53134328358209;4.866120218579235;2.283606557377049;974.453825136612;;13.013583815028902;25.02950819672131;19.356284153005465;11.6051912568306;;;1.3612021857923498;
87244;1964;;66.02892561983471;3.544198895027624;1.3882191780821918;974.8223140495868;;11.88395061728395;26.022841225626742;19.619722222222222;8.468681318681318;17.704918032786885;2.086885245901639;1.3251381215469613;
87244;1965;;69.31601731601732;4.142424242424243;2.6167664670658684;974.2861027190332;;13.255793991416308;25.746894409937887;19.517933130699088;9.062654320987654;18.11890243902439;2.3454268292682925;1.603030303030303;
87244;1966;;58.87029288702929;3.52;1.2801980198019802;974.8066666666666;;11.135833333333332;26.49233333333333;19.975919732441472;10.094039735099338;16.003300330033003;2.506930693069307;1.6571428571428573;
87244;1967;;64.562893081761;3.6666666666666665;2.2478142076502734;975.147619047619;;11.576489028213166;26.499431818181815;19.295495495495494;10.31994459833795;14.489071038251366;2.3707650273224044;1.5467261904761906;
87244;1968;;66.52747252747253;4.03013698630137;2.0684931506849313;974.5693150684931;;13.031043956043957;20.24404761904762;20.53232876712329;12.269315068493151;15.26849315068493;2.291780821917808;1.493972602739726;
87244;1969;;64.25555555555556;3.8876712328767122;2.492054794520548;974.3947658402203;;12.008055555555554;;20.063013698630137;11.315659340659339;15.095890410958905;2.604931506849315;1.5687671232876712;
87244;1970;;66.06388888888888;3.6575342465753424;2.523076923076923;974.6175342465754;;11.353611111111112;26.172727272727272;18.876519337016575;9.897808219178081;14.704109589041096;2.687945205479452;1.6454794520547946;
87244;1971;;63.293150684931504;3.6639344262295084;2.2874316939890713;973.8775956284153;;11.68027397260274;27.270491803278688;20.277322404371585;10.969672131147542;14.379781420765028;3.371311475409836;1.8740437158469945;
87244;1972;;71.27945205479452;4.4301369863013695;3.1189041095890415;973.9263013698629;;12.811780821917809;25.005479452054793;19.04794520547945;11.481369863013699;15.232876712328768;3.2643835616438355;1.693972602739726;
87244;1973;;69.5095890410959;4.005479452054795;2.5172602739726027;975.0600000000001;;12.053150684931506;24.846575342465755;18.835068493150686;10.562465753424657;15.115068493150686;3.4534246575342467;1.733698630136986;
87244;1974;;68.1041095890411;3.9068493150684933;2.498904109589041;974.6654794520549;;12.106027397260274;25.538630136986303;19.138356164383563;10.478082191780821;14.306849315068494;3.5610958904109586;1.852876712328767;
87244;1975;;67.24043715846994;3.5205479452054793;2.4262295081967213;974.8939890710383;;11.6051912568306;25.3896174863388;18.916666666666668;9.71256830601093;15.887978142076502;2.9759562841530056;1.6005464480874316;
87244;1976;;66.97534246575343;3.882191780821918;2.403013698630137;974.4054794520548;;11.874520547945204;25.43123287671233;19.172328767123286;10.586301369863014;15.657534246575343;3.0032876712328767;1.5893150684931507;
87244;1977;;69.24931506849315;3.6575342465753424;2.8558904109589043;974.5282191780822;;12.965205479452056;26.07890410958904;19.783835616438356;11.152876712328768;14.287671232876713;2.6934246575342464;1.41013698630137;
87244;1978;;68.73972602739725;3.8958904109589043;2.1616438356164385;974.9367123287672;;12.447945205479453;25.516164383561645;19.196438356164382;10.54109589041096;14.09041095890411;2.8835616438356166;1.4657534246575343;
87244;1979;;68.72131147540983;3.9672131147540983;2.4259562841530053;974.2459016393443;;13.121857923497268;26.125479452054794;19.90846994535519;11.804931506849316;15.5;2.925956284153006;1.5027322404371584;
87244;1980;;68.46428571428571;4.164383561643835;2.647945205479452;974.9227397260273;;12.574175824175825;25.495616438356162;19.5260989010989;11.256749311294765;15.038356164383561;3.009315068493151;1.4794520547945205;
87244;1981;;68.02191780821917;3.6904109589041094;1.9712328767123288;975.457808219178;;12.494520547945205;25.663561643835617;19.372876712328768;10.57068493150685;15.271232876712329;3.148493150684932;1.3857534246575343;
87244;1982;;70.03835616438356;4.843835616438356;2.7254794520547945;973.7838356164383;;13.152328767123288;25.026849315068493;19.577260273972602;12.168493150684931;14.756164383561643;2.9068493150684933;1.4561643835616438;
87244;1983;;68.06284153005464;3.7868852459016393;2.3232240437158467;974.9505464480875;;12.08879781420765;25.2413698630137;18.950819672131146;11.05136612021858;16.30327868852459;3.0603825136612017;1.4765027322404372;
