,omm_id,hydro_year,helio,hr,nub,pres_est,pres_nm,td,tmax,tmed,tmin,vmax_d,vmax_f,vmed,caudal,PTA,PMDA
0,1,1957,,,,,,,22.32,,8.36,,,3.946,,441.3,159.0
1,1,1958,,,,,,,19.916666666666668,,5.866666666666667,,,4.153333333333333,,632.1,85.0
2,1,1959,,,,,,,21.208333333333332,,5.316666666666667,,,4.045833333333333,,724.7,72.0
3,1,1960,,,,,,,20.766666666666666,,5.9750000000000005,,,4.111666666666666,,1085.9,97.0
4,1,1961,,,,,,,20.650000000000002,,6.191666666666666,,,4.1674999999999995,,808.8,86.5
5,1,1962,,,,,,,20.766666666666666,,6.2250000000000005,,,4.3525,,516.5,59.0
6,1,1963,,,,,,,19.900000000000002,,6.641666666666667,,,4.711666666666667,,409.4,53.0
7,1,1964,,,,,,,20.375,,5.316666666666666,,,4.3966666666666665,,884.2,78.0
8,1,1965,,,,,,,20.716666666666665,,6.516666666666667,,,4.555,,1081.9,178.0
9,1,1966,,,,,,,21.108333333333334,,6.6499999999999995,,,4.5225,,684.1,57.5
10,1,1967,,,,,,,20.591666666666665,,5.591666666666668,,,4.4575000000000005,,900.2,90.5
11,1,1968,,,,,,,21.40833333333333,,7.608333333333333,,,4.529166666666667,,319.3,38.6
12,1,1969,,,,,,,21.566666666666666,,6.925,,,4.810833333333334,,970.6,99.6
13,1,1970,,,,,,,20.658333333333335,,5.683333333333334,,,4.704166666666667,,739.8,93.2
14,1,1971,,,,,,,22.108333333333334,,7.066666666666666,,,4.641666666666667,,611.9,58.5
15,1,1972,,,,,,,19.666666666666668,,6.5249999999999995,,,4.7124999999999995,,1135.4,85.9
16,1,1973,,,,,,,20.075,,6.1000000000000005,,,4.748333333333334,,680.9,79.8
17,1,1974,,,,,,,20.183333333333334,,6.158333333333334,,,4.8875,,1020.6,87.5
18,1,1975,,,,,,,20.533333333333335,,6.0,,,4.756666666666667,,745.3,63.9
19,1,1976,,,,,,,20.058333333333334,,6.2250000000000005,,,4.578333333333333,,1001.9,54.5
20,1,1977,,,,,,,20.875,,6.983333333333333,,,4.503333333333333,,1191.5,144.0
21,1,1978,,,,,,,20.083333333333332,,6.366666666666667,,,4.510833333333333,,1472.8,102.5
22,1,1979,,,,,,,20.583333333333332,,6.925,,,4.3875,,1258.3,135.0
23,1,1980,,,,,,,20.508333333333333,,6.5,,,4.74,,1146.1,90.0
24,1,1981,,,,,,,20.55,,6.2749999999999995,,,4.588333333333334,,832.4,33.7
25,1,1982,,,,,,,20.191666666666666,,7.058333333333334,,,4.700833333333333,,799.2,64.5
26,1,1983,,,,,,,20.141666666666666,,6.175000000000001,,,4.554166666666666,,1234.8,168.5
27,1,1984,,,,,,,19.5,,6.083333333333333,,,4.516666666666667,,0.0,
28,1,1985,,,,,,,20.474999999999998,,6.866666666666667,,,4.614166666666667,,0.0,
29,1,1986,,,,,,,20.575,,7.233333333333333,,,4.806666666666667,,727.6,63.9
30,1,1987,,,,,,,20.10833333333333,,6.633333333333333,,,4.493333333333333,,931.0,82.4
31,1,1988,,,,,,,21.241666666666667,,6.258333333333333,,,4.526666666666666,,24.400000000000002,19.1
32,1,1989,,,,,,,20.474999999999998,,6.983333333333333,,,4.551666666666667,,0.0,
33,1,1990,,,,,,,20.791666666666668,,7.216666666666668,,,4.658333333333333,,0.0,
34,1,1991,,,,,,,20.008333333333333,,6.658333333333334,,,4.569999999999999,,0.0,
35,1,1992,,,,,,,20.3,,7.075,,,4.645833333333333,,0.0,
36,1,1993,,,,,,,20.400000000000002,,6.625,,,4.56,,1249.0,139.0
37,1,1994,,,,,,,21.116666666666667,,7.3500000000000005,,,4.430833333333333,,881.7,70.9
38,1,1995,,,,,,,20.816666666666666,,6.883333333333333,,,4.4375,,1200.1,77.0
39,1,1996,,,,,,,21.058333333333334,,6.766666666666667,,,4.5775,,950.2,70.5
40,1,1997,,,,,,,19.575,,6.95,,,4.498333333333334,,1153.6,145.1
41,1,1998,,,,,,,19.98333333333333,,6.716666666666666,,,4.414166666666667,,1216.6,63.0
42,1,1999,,,,,,,19.583333333333332,,6.766666666666667,,,4.459166666666667,,1729.9,178.3
43,1,2000,,,,,,,19.816666666666666,,6.7250000000000005,,,4.5408333333333335,,1200.7,60.2
44,1,2001,,,,,,,19.76666666666667,,6.841666666666666,,,4.6075,,1201.0,65.0
45,1,2002,,,,,,,20.3,,6.766666666666667,,,4.535,,1082.4,85.0
46,1,2003,,,,,,,20.691666666666666,,6.916666666666667,,,4.734166666666667,,820.0,62.5
47,1,2004,,,,,,,20.241666666666667,,6.591666666666666,,,4.756666666666667,,945.5,75.5
48,1,2005,,,,,,,20.425,,6.8500000000000005,,,4.615833333333334,,922.0,74.5
49,1,2006,,,,,,,20.541666666666668,,7.008333333333334,,,4.6075,,1214.0,97.0
50,1,2007,,,,,,,20.058333333333334,,5.758333333333333,,,4.403333333333333,,901.5,55.5
51,1,2008,,,,,,,21.675,,6.866666666666667,,,4.46,,836.0,63.0
52,1,2009,,,,,,,21.033333333333335,,6.616666666666667,,,4.625,,1076.5,85.5
53,1,2010,,,,,,,20.658333333333335,,6.408333333333334,,,4.524166666666667,,1014.7,72.5
54,1,2011,,,,,,,21.65833333333333,,7.558333333333334,,,4.638333333333333,,840.5,95.0
